GP surgery,original_House name,original_Road,original_Town,original_County,original_Postcode,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
Swanley Medical Centre: The Hextable Site,31A,Main Road,Hextable,Kent,BR8 7RB,51.4090698,0.1828849,"Hextable Surgery, 31A Main Road, Hextable, BR8 7RB, United Kingdom",Hextable Surgery,31A,Main Road,BR8 7RB,,Hextable,Sevenoaks,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
River Darent Medical Group: Devon Road Surgery,32,Devon Road,South Darenth,Kent,DA4 9AB,51.40374468,0.243268813,"32 Devon Road, Horton Kirby and South Darenth, Sevenoaks, DA4 9AB, United Kingdom",,32,Devon Road,DA4 9AB,Sutton-At-Hone and Hawley,Horton Kirby and South Darenth,Sevenoaks,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
River Darent Medical Group: Braeside Surgery,,Gorse Hill,Farningham,Kent,DA4 0JU,51.37738338,0.22831023,"Gorse Hill, Farningham, DA4 0JU, United Kingdom",Gorse Hill,,Gorse Hill,DA4 0JU,,Farningham,Sevenoaks,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanley Medical Centre: The Cedars Site,26,Swanley Centre,Swanley,Kent,BR8 7AH,51.39600215,0.174028173,"26 Swanley Lane, Swanley, BR8 7AH, United Kingdom",,26,Swanley Lane,BR8 7AH,Swanley Civil Parish,,Swanley,Kent,KEN,England,ENG,United Kingdom,gb,0.63,1,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanley Medical Centre: The Oaks Site,,Nightingale Way,Swanley,Kent,BR8 7UP,51.39536769,0.174435765,"Nightingale Way, Swanley, BR8 7UP, United Kingdom",Nightingale Way,,Nightingale Way,BR8 7UP,Swanley Civil Parish,High Firs,Swanley,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Swanscombe Health Centre,,Southfleet Road,Swanscombe,Kent,DA10 0BF,51.4417104,0.3139846,"Southfleet Road, Swanscombe, DA10 0BF, United Kingdom",Southfleet Road,,Southfleet Road,DA10 0BF,,Swanscombe and Greenhithe,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Bean Village Surgery,,High Street,Bean,Kent,DA2 8BS,51.42483017,0.287287576,"High Street, Bean, DA2 8BS, United Kingdom",,,High Street,DA2 8BS,Bean,,Bean,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Greenhithe Surgery,32,London Road,Greenhithe,Kent,DA9 9EJ,51.45057793,0.291598897,"32 London Road, Worcester Park Estate, DA9 9EJ, United Kingdom",London Road,32,London Road,DA9 9EJ,,Stone,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Lamorna Surgery,,Thomas Drive,Gravesend,Kent,DA12 5PY,51.42784921,0.38240469,"Thomas Drive, Gravesend, Gravesham, DA12 5PY, United Kingdom",Thomas Drive,,Thomas Drive,DA12 5PY,,Whitehill,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Elmdene Surgery,273,London Road,Greenhithe,Kent,DA9 9DB,51.44596297,0.263687473,"273 London Road, Dartford, DA9 9DB, United Kingdom",,273,London Road,DA9 9DB,Stone,Stone,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Bennett Way Surgery,,Bennett Way,Dartford,Kent,DA2 7JT,51.4206207,0.2542571,"Bennett Way, Darenth, DA2 7JT, United Kingdom",Bennett Way,,Bennett Way,DA2 7JT,,Darenth,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Fleet Surgery,Fleet Health Campus,Vale Road,Gravesend,Kent,DA11 8BZ,51.4358548,0.3411349,"Fleet Health Campus, Vale Road, Gravesham, DA11 8BZ, United Kingdom",Fleet Health Campus,,Vale Road,DA11 8BZ,,Rosherville,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Swanscombe and Bean Partnership: Castle Hill Surgery,69,Cherry Orchard,Ebbsfleet Valley,Kent,DA10 1AD,51.4360633,0.3034744,"Delmergate Pharmacy, 69 Cherry Orchard, Swanscombe, DA10 1AD, United Kingdom",Delmergate Pharmacy,69,Cherry Orchard,DA10 1AD,,Castle Hill,Ebbsfleet Garden City,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
The Shrubbery,65A,Perry Street,Gravesend,Kent,DA11 8RD,51.43333514,0.350786979,"65 Perry Street, Gravesend, DA11 8RD, United Kingdom",Perry Street,65,Perry Street,DA11 8RD,,Rosherville,Gravesend,Kent,KEN,England,ENG,United Kingdom,gb,0.855,1,1,0.95,,,
Riverview Park,1,Whinfell Way,Gravesend,Kent,DA12 4RX,51.41890293,0.394733172,"J.K's Cafe, 1 Whinfell Way, Gravesend, Gravesham, DA12 4RX, United Kingdom",J.K's Cafe,1,Whinfell Way,DA12 4RX,,Riverview Park,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rochester Road Surgery,115,Rochester Road,Gravesend,Kent,DA12 2HU,51.43502509,0.39036951,"115 Rochester Road, Gravesend, DA12 2HU, United Kingdom",Rochester Road,115,Rochester Road,DA12 2HU,,Denton,Gravesend,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,,,
Beaumont Drive Surgery,117,Beaumont Drive,Gravesend,Kent,DA11 9NY,51.4393661,0.3530955,"117 Beaumont Drive, Gravesham, DA11 9NY, United Kingdom",Beaumont Drive,117,Beaumont Drive,DA11 9NY,,Rosherville,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pelham Medical Practice,17,Pelham Road,Gravesend,Kent,DA11 0HN,51.4397061,0.3620175,"Pelham Medical Practice, 17 Pelham Road, Gravesend, Gravesham, DA11 0HN, United Kingdom",Pelham Medical Practice,17,Pelham Road,DA11 0HN,,,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
St Gregory’s Medical Practice,116,St Gregory's Crescent,Gravesend,Kent,DA12 4JW,51.42763245,0.389823422,"116 St Gregory's Crescent, Gravesend, Gravesham, DA12 4JW, United Kingdom",St Gregory's Crescent,116,St Gregory's Crescent,DA12 4JW,,Westcourt,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gravesend Medical Centre and Parrock Street Surgery,1,New Swan Yard,Gravesend,Kent,DA12 2EN,51.4438979,0.3700293,"Gravesend Medical Centre, 1 New Swan Yard, Gravesend, Gravesham, DA12 2EN, United Kingdom",Gravesend Medical Centre,1,New Swan Yard,DA12 2EN,,Milton,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Springhead Health Group,Fleet Health Campus,Vale Road,Gravesend,Kent,DA11 8BZ,51.4358548,0.3411349,"Fleet Health Campus, Vale Road, Gravesham, DA11 8BZ, United Kingdom",Fleet Health Campus,,Vale Road,DA11 8BZ,,Rosherville,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Old Road West Surgery,30,Old Road West,Gravesend,Kent,DA11 0LL,51.4336566,0.3673772,"Old Road West Surgery, 30 Old Road West, Gravesend, Gravesham, DA11 0LL, United Kingdom",Old Road West Surgery,30,Old Road West,DA11 0LL,,Kings Farm,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oakfield Health Centre,,Off Windsor Road,Gravesend,Kent,DA12 5BW,51.4192297,0.3723889,"Gravesend, Gravesham, DA12 5BW, United Kingdom",,,,DA12 5BW,,,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.6,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Downs Way Medical Practice: Istead Rise Surgery,,Worcester Close,Gravesend,Kent,DA13 9LB,51.4076028,0.3518542,"Worcester Close, Gravesham, DA13 9LB, United Kingdom",Worcester Close,,Worcester Close,DA13 9LB,,,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Downs Way Medical Practice:  Shorne Village Surgery,,Crown Lane,Gravesend,Kent,DA12 3DY,51.4156922,0.4299804,"Crown Lane, Shorne, DA12 3DY, United Kingdom",Crown Lane,,Crown Lane,DA12 3DY,,Shorne,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jubilee Medical Group: Kent House Surgery,36,Station Road,Longfield,Kent,DA3 7QD,51.39735397,0.300117023,"36 Station Road, Longfield, DA3 7QD, United Kingdom",Station Road,36,Station Road,DA3 7QD,Longfield and New Barn,Longfield and New Barn,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.9,1,1,1,,,
Jubilee Medical Group: New Ash Green Surgery,,New Ash Green,Longfield,Kent,DA3 8RH,51.36687094,0.306005889,"New Ash Green, DA3 8RH, United Kingdom",,,,DA3 8RH,,,Sevenoaks,Kent,KEN,England,ENG,United Kingdom,gb,0.6,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meopham Medical Centre,,Wrotham Road,Meopham,Kent,DA13 0AH,51.36703488,0.35759212,"Wrotham Road, Meopham, Gravesham, DA13 0AH, United Kingdom",Wrotham Road,,Wrotham Road,DA13 0AH,,Meopham,Gravesham,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
